# Boot time: 2025-05-04T12-26-06
Timestamp	Boot	Temp	CPU%	Load1m
2025-05-04T19:26:18.415335	2025-05-04T12-26-06	67.14°C	0.0%	0.95
2025-05-04T19:27:39.550647	2025-05-04T12-26-06	69.83°C	28.1%	3.71
2025-05-04T19:28:44.624437	2025-05-04T12-26-06	69.29°C	20.9%	3.06
2025-05-04T19:29:44.983819	2025-05-04T12-26-06	69.29°C	17.1%	1.77
2025-05-04T19:30:45.001868	2025-05-04T12-26-06	69.83°C	16.7%	0.94
2025-05-04T19:31:45.015337	2025-05-04T12-26-06	69.83°C	16.6%	1.11
2025-05-04T19:32:45.025665	2025-05-04T12-26-06	70.91°C	16.6%	1.16
2025-05-04T19:33:45.038709	2025-05-04T12-26-06	70.91°C	18.5%	1.30
2025-05-04T19:34:45.067032	2025-05-04T12-26-06	70.91°C	16.4%	1.36
2025-05-04T19:35:45.076338	2025-05-04T12-26-06	71.98°C	16.5%	0.92
2025-05-04T19:36:45.085523	2025-05-04T12-26-06	73.06°C	16.2%	0.62
2025-05-04T19:37:45.093878	2025-05-04T12-26-06	73.06°C	16.7%	0.66
2025-05-04T19:38:45.101196	2025-05-04T12-26-06	73.60°C	16.0%	0.62
2025-05-04T19:39:45.110569	2025-05-04T12-26-06	74.14°C	16.0%	0.81
2025-05-04T19:40:45.119868	2025-05-04T12-26-06	74.14°C	16.4%	0.55
2025-05-04T19:41:45.123784	2025-05-04T12-26-06	75.21°C	16.4%	0.67
2025-05-04T19:42:45.128761	2025-05-04T12-26-06	75.21°C	16.4%	0.69
2025-05-04T19:43:45.134777	2025-05-04T12-26-06	75.75°C	16.4%	0.65
2025-05-04T19:44:45.144591	2025-05-04T12-26-06	76.29°C	16.7%	0.86
2025-05-04T19:45:45.150892	2025-05-04T12-26-06	77.36°C	16.9%	0.78
2025-05-04T19:46:45.155283	2025-05-04T12-26-06	77.90°C	16.1%	0.98
2025-05-04T19:47:45.181700	2025-05-04T12-26-06	77.36°C	13.4%	2.04
2025-05-04T19:48:45.437137	2025-05-04T12-26-06	77.90°C	17.1%	1.23
2025-05-04T19:49:45.449030	2025-05-04T12-26-06	79.52°C	17.2%	0.88
2025-05-04T19:50:45.457401	2025-05-04T12-26-06	81.67°C	25.7%	0.88
2025-05-04T19:51:45.462198	2025-05-04T12-26-06	80.59°C	18.4%	0.67
2025-05-04T19:52:45.499073	2025-05-04T12-26-06	82.21°C	27.7%	1.10
2025-05-04T19:53:45.833348	2025-05-04T12-26-06	81.67°C	20.1%	0.84
2025-05-04T19:54:45.849153	2025-05-04T12-26-06	81.13°C	17.9%	0.60
2025-05-04T19:55:45.860927	2025-05-04T12-26-06	82.21°C	20.5%	0.87
2025-05-04T19:56:45.877138	2025-05-04T12-26-06	83.28°C	20.5%	0.90
2025-05-04T19:57:45.883100	2025-05-04T12-26-06	82.21°C	20.0%	0.54
2025-05-04T19:58:45.888852	2025-05-04T12-26-06	83.28°C	16.8%	0.56
2025-05-04T19:59:45.897454	2025-05-04T12-26-06	80.59°C	12.8%	0.47
2025-05-04T20:00:45.904081	2025-05-04T12-26-06	77.90°C	0.7%	0.17
2025-05-04T20:01:45.912652	2025-05-04T12-26-06	75.21°C	0.7%	0.06
2025-05-04T20:02:45.919288	2025-05-04T12-26-06	73.06°C	0.7%	0.02
2025-05-04T20:03:45.924953	2025-05-04T12-26-06	71.98°C	1.3%	0.01
2025-05-04T20:04:45.961700	2025-05-04T12-26-06	75.75°C	10.0%	1.27
2025-05-04T20:05:46.229874	2025-05-04T12-26-06	77.90°C	16.7%	1.00
2025-05-04T20:06:46.240340	2025-05-04T12-26-06	79.52°C	21.9%	0.82
2025-05-04T20:07:46.248156	2025-05-04T12-26-06	82.74°C	20.3%	1.03
2025-05-04T20:08:46.254737	2025-05-04T12-26-06	81.13°C	17.3%	0.82
2025-05-04T20:09:46.259031	2025-05-04T12-26-06	81.67°C	17.5%	0.92
2025-05-04T20:10:46.263684	2025-05-04T12-26-06	82.21°C	18.5%	0.75
2025-05-04T20:11:46.273587	2025-05-04T12-26-06	82.74°C	19.2%	0.75
2025-05-04T20:12:46.278565	2025-05-04T12-26-06	82.74°C	19.8%	0.77
2025-05-04T20:13:46.284025	2025-05-04T12-26-06	83.82°C	17.8%	0.80
2025-05-04T20:14:46.295308	2025-05-04T12-26-06	79.52°C	5.0%	0.43
2025-05-04T20:15:46.302642	2025-05-04T12-26-06	76.83°C	0.7%	0.16
2025-05-04T20:16:46.306483	2025-05-04T12-26-06	75.21°C	0.7%	0.06
2025-05-04T20:17:46.313009	2025-05-04T12-26-06	73.60°C	0.7%	0.02
2025-05-04T20:18:46.316703	2025-05-04T12-26-06	71.98°C	0.7%	0.12
2025-05-04T20:19:46.320440	2025-05-04T12-26-06	70.91°C	0.7%	0.04
2025-05-04T20:20:46.329035	2025-05-04T12-26-06	69.29°C	0.7%	0.07
2025-05-04T20:21:46.334717	2025-05-04T12-26-06	68.76°C	0.7%	0.02
2025-05-04T20:22:46.338501	2025-05-04T12-26-06	67.68°C	0.6%	0.01
2025-05-04T20:23:46.344146	2025-05-04T12-26-06	66.60°C	0.7%	0.00
2025-05-04T20:24:46.353538	2025-05-04T12-26-06	65.53°C	0.6%	0.12
2025-05-04T20:25:46.357303	2025-05-04T12-26-06	65.53°C	0.7%	0.04
2025-05-04T20:26:46.361718	2025-05-04T12-26-06	64.99°C	0.7%	0.01
2025-05-04T20:27:46.365551	2025-05-04T12-26-06	64.45°C	0.7%	0.00
2025-05-04T20:28:46.369377	2025-05-04T12-26-06	63.38°C	0.7%	0.00
2025-05-04T20:29:46.380246	2025-05-04T12-26-06	63.38°C	0.7%	0.00
2025-05-04T20:30:46.389642	2025-05-04T12-26-06	63.38°C	0.6%	0.00
2025-05-04T20:31:46.393509	2025-05-04T12-26-06	62.30°C	0.6%	0.00
2025-05-04T20:32:46.399132	2025-05-04T12-26-06	62.30°C	0.7%	0.00
2025-05-04T20:33:46.402902	2025-05-04T12-26-06	61.22°C	0.7%	0.00
2025-05-04T20:34:46.412192	2025-05-04T12-26-06	61.22°C	0.7%	0.00
2025-05-04T20:35:46.421904	2025-05-04T12-26-06	61.22°C	0.7%	0.00
2025-05-04T20:36:46.427550	2025-05-04T12-26-06	60.69°C	0.7%	0.00
2025-05-04T20:37:46.433228	2025-05-04T12-26-06	60.69°C	0.7%	0.00
2025-05-04T20:38:46.438913	2025-05-04T12-26-06	60.15°C	0.7%	0.00
2025-05-04T20:39:46.444547	2025-05-04T12-26-06	60.15°C	0.6%	0.00
2025-05-04T20:40:46.451006	2025-05-04T12-26-06	60.15°C	0.6%	0.00
2025-05-04T20:41:46.454817	2025-05-04T12-26-06	59.07°C	0.6%	0.00
2025-05-04T20:42:46.460489	2025-05-04T12-26-06	59.07°C	0.7%	0.00
2025-05-04T20:43:46.466159	2025-05-04T12-26-06	60.15°C	0.7%	0.00
2025-05-04T20:44:46.469960	2025-05-04T12-26-06	59.07°C	0.6%	0.00
2025-05-04T20:45:46.475646	2025-05-04T12-26-06	59.07°C	0.7%	0.00
2025-05-04T20:46:46.481413	2025-05-04T12-26-06	59.07°C	0.7%	0.00
2025-05-04T20:47:46.487608	2025-05-04T12-26-06	58.53°C	0.7%	0.00
2025-05-04T20:48:46.493245	2025-05-04T12-26-06	58.53°C	0.7%	0.00
2025-05-04T20:49:46.496927	2025-05-04T12-26-06	58.00°C	0.7%	0.00
2025-05-04T20:50:46.502575	2025-05-04T12-26-06	58.00°C	0.7%	0.00
2025-05-04T20:51:46.512187	2025-05-04T12-26-06	58.53°C	0.7%	0.00
2025-05-04T20:52:46.517870	2025-05-04T12-26-06	58.00°C	0.7%	0.00
2025-05-04T20:53:46.524538	2025-05-04T12-26-06	58.00°C	0.7%	0.00
2025-05-04T20:54:46.530196	2025-05-04T12-26-06	58.00°C	0.7%	0.00
2025-05-04T20:55:46.533977	2025-05-04T12-26-06	58.00°C	0.7%	0.00
2025-05-04T20:56:46.537755	2025-05-04T12-26-06	58.53°C	0.7%	0.00
2025-05-04T20:57:46.541580	2025-05-04T12-26-06	58.00°C	0.6%	0.00
2025-05-04T20:58:46.545377	2025-05-04T12-26-06	58.00°C	0.7%	0.00
2025-05-04T20:59:46.556533	2025-05-04T12-26-06	58.00°C	0.7%	0.06
2025-05-04T21:00:46.563904	2025-05-04T12-26-06	57.46°C	0.6%	0.02
2025-05-04T21:01:46.569588	2025-05-04T12-26-06	57.46°C	0.6%	0.01
2025-05-04T21:02:46.575280	2025-05-04T12-26-06	56.92°C	0.7%	0.16
2025-05-04T21:03:46.580939	2025-05-04T12-26-06	56.92°C	0.7%	0.56
2025-05-04T21:04:46.584708	2025-05-04T12-26-06	57.46°C	0.7%	0.43
2025-05-04T21:05:46.591369	2025-05-04T12-26-06	57.46°C	0.7%	0.34
2025-05-04T21:06:46.600820	2025-05-04T12-26-06	56.92°C	1.1%	0.42
2025-05-04T21:07:46.604577	2025-05-04T12-26-06	56.92°C	0.7%	0.15
2025-05-04T21:08:46.613941	2025-05-04T12-26-06	56.92°C	0.7%	0.05
2025-05-04T21:09:46.621277	2025-05-04T12-26-06	57.46°C	0.6%	0.02
2025-05-04T21:10:46.628567	2025-05-04T12-26-06	56.92°C	0.6%	0.15
2025-05-04T21:11:46.639016	2025-05-04T12-26-06	56.92°C	0.6%	0.05
2025-05-04T21:12:46.648266	2025-05-04T12-26-06	56.92°C	0.7%	0.02
2025-05-04T21:13:46.652101	2025-05-04T12-26-06	56.92°C	0.7%	0.00
2025-05-04T21:14:46.657772	2025-05-04T12-26-06	56.92°C	0.7%	0.00
2025-05-04T21:15:46.668340	2025-05-04T12-26-06	56.92°C	0.7%	0.00
2025-05-04T21:16:46.676563	2025-05-04T12-26-06	56.38°C	0.7%	0.00
2025-05-04T21:17:46.685900	2025-05-04T12-26-06	56.92°C	0.7%	0.00
2025-05-04T21:18:46.695205	2025-05-04T12-26-06	56.92°C	0.6%	0.00
2025-05-04T21:19:46.698987	2025-05-04T12-26-06	56.92°C	0.7%	0.00
2025-05-04T21:20:46.704652	2025-05-04T12-26-06	56.92°C	0.7%	0.00
2025-05-04T21:21:46.712210	2025-05-04T12-26-06	58.53°C	4.6%	0.30
2025-05-04T21:22:46.721863	2025-05-04T12-26-06	57.46°C	0.7%	0.11
2025-05-04T21:23:46.731214	2025-05-04T12-26-06	56.92°C	0.7%	0.04
2025-05-04T21:24:46.743577	2025-05-04T12-26-06	56.92°C	0.7%	0.05
2025-05-04T21:25:46.752898	2025-05-04T12-26-06	56.92°C	0.7%	0.02
2025-05-04T21:26:46.760257	2025-05-04T12-26-06	56.92°C	0.7%	0.00
2025-05-04T21:27:46.765960	2025-05-04T12-26-06	56.92°C	0.7%	0.00
2025-05-04T21:28:46.771669	2025-05-04T12-26-06	56.92°C	0.7%	0.04
2025-05-04T21:29:46.777357	2025-05-04T12-26-06	56.92°C	0.7%	0.01
2025-05-04T21:30:46.781032	2025-05-04T12-26-06	56.92°C	0.7%	0.00
2025-05-04T21:31:46.786676	2025-05-04T12-26-06	56.92°C	1.1%	0.00
2025-05-04T21:32:46.790653	2025-05-04T12-26-06	56.92°C	1.0%	0.10
2025-05-04T21:33:46.796301	2025-05-04T12-26-06	56.92°C	0.8%	0.16
2025-05-04T21:34:46.802195	2025-05-04T12-26-06	58.00°C	2.0%	0.06
2025-05-04T21:35:46.851862	2025-05-04T12-26-06	61.22°C	9.9%	1.98
2025-05-04T21:36:47.421791	2025-05-04T12-26-06	59.07°C	1.7%	0.76
2025-05-04T21:37:47.433023	2025-05-04T12-26-06	58.53°C	0.8%	0.28
2025-05-04T21:38:47.436821	2025-05-04T12-26-06	58.00°C	0.8%	0.10
2025-05-04T21:39:47.445972	2025-05-04T12-26-06	57.46°C	0.7%	0.03
2025-05-04T21:40:47.456301	2025-05-04T12-26-06	57.46°C	1.1%	0.08
2025-05-04T21:41:47.460147	2025-05-04T12-26-06	58.00°C	0.8%	0.11
2025-05-04T21:42:47.469495	2025-05-04T12-26-06	57.46°C	0.7%	0.04
2025-05-04T21:43:47.475217	2025-05-04T12-26-06	56.92°C	0.7%	0.01
2025-05-04T21:44:47.481945	2025-05-04T12-26-06	56.92°C	0.7%	0.00
2025-05-04T21:45:47.491364	2025-05-04T12-26-06	57.46°C	0.7%	0.00
2025-05-04T21:46:47.498076	2025-05-04T12-26-06	56.92°C	0.7%	0.00
